timestamp,loc_x,loc_y,mag_x,mag_y,mag_z,roll,pitch,yaw
1579076653974.679688,38.355,8.835,-15.360,-16.800,-42.420,0.007,0.007,0.000
1579076654701.593262,39.046,8.835,-14.716,-15.900,-43.463,0.134,0.139,0.074
1579076655428.506836,39.738,8.835,-17.755,-15.834,-44.396,0.167,0.171,0.048
1579076656155.420410,40.429,8.835,-23.675,-15.962,-40.551,0.216,0.217,0.027
1579076656882.333984,41.120,8.835,-27.029,-10.934,-39.373,0.216,0.227,0.113
1579076657609.247559,41.811,8.835,-28.735,-10.662,-36.701,0.241,0.243,0.039
1579076658336.161133,42.502,8.835,-30.338,-3.663,-35.495,0.187,0.197,0.153
1579076659063.074463,43.194,8.835,-27.779,-5.923,-38.088,0.177,0.180,0.039
1579076659789.988037,43.885,8.835,-27.588,-5.514,-34.562,0.163,0.167,0.114
1579076660516.901611,44.576,8.835,-25.049,0.257,-30.320,0.203,0.213,0.185
1579076661243.815186,45.267,8.835,-23.780,4.958,-33.585,0.203,0.212,0.082
1579076661970.728760,45.959,8.835,-23.154,10.320,-36.670,0.182,0.188,0.102
1579076662697.642334,46.650,8.835,-19.619,13.942,-40.194,0.223,0.240,0.181
1579076663424.555908,47.341,8.835,-14.983,14.762,-42.893,0.195,0.199,0.041
1579076664151.469482,48.032,8.835,-5.514,16.151,-38.635,0.139,0.141,0.049
1579076664878.383057,48.724,8.835,6.631,0.019,-32.715,0.211,0.224,0.149
1579076665605.296631,49.415,8.835,2.489,-19.270,-31.479,0.192,0.195,0.031
1579076666332.210205,50.106,8.835,-8.640,-25.122,-29.298,0.155,0.157,0.030
1579076667059.123779,50.797,8.835,-14.813,-17.950,-26.772,0.141,0.148,0.119
1579076667786.037109,51.488,8.835,-13.217,-9.198,-29.345,0.139,0.141,0.021
1579076668512.950684,52.180,8.835,-18.290,-6.181,-34.684,0.119,0.120,0.020
1579076669239.864258,52.871,8.835,-23.485,-8.482,-37.497,0.176,0.180,0.076
1579076669966.777832,53.562,8.835,-26.130,-9.880,-40.809,0.157,0.157,0.008
1579076670693.691406,54.253,8.835,-31.723,-13.038,-40.089,0.166,0.167,0.046
1579076671420.604980,54.945,8.835,-31.732,-16.888,-39.404,0.141,0.141,0.017
1579076672147.518555,55.636,8.835,-33.360,-16.260,-39.240,0.144,0.145,0.051
1579076690382.991455,38.271,10.690,-14.280,0.780,-39.900,-0.003,-0.003,0.003
1579076690994.514648,38.870,10.690,-12.651,4.099,-40.107,0.072,0.076,0.094
1579076691606.037598,39.468,10.690,-17.999,0.844,-39.694,0.125,0.125,0.017
1579076692217.560791,40.067,10.690,-19.318,-3.991,-39.605,0.150,0.150,0.035
1579076692829.083984,40.666,10.690,-18.780,-7.387,-37.919,0.186,0.185,0.003
1579076693440.606934,41.265,10.690,-21.564,-6.006,-37.793,0.199,0.203,0.100
1579076694052.130127,41.864,10.690,-19.935,-7.319,-39.767,0.165,0.163,-0.033
1579076694663.653320,42.462,10.690,-21.249,-6.332,-40.599,0.157,0.158,0.120
1579076695275.176270,43.061,10.690,-15.257,-7.943,-39.583,0.108,0.108,0.006
1579076695886.699463,43.660,10.690,-15.969,-5.646,-33.957,0.078,0.075,0.079
1579076696498.222656,44.259,10.690,-13.439,-0.018,-30.161,0.101,0.101,0.066
1579076697109.745605,44.858,10.690,-14.854,4.967,-33.324,0.162,0.162,0.011
1579076697721.268799,45.456,10.690,-17.189,8.395,-36.919,0.160,0.159,0.144
1579076698332.791992,46.055,10.690,-17.401,6.748,-38.492,0.089,0.088,-0.050
1579076698944.314941,46.654,10.690,-17.122,12.251,-38.873,0.056,0.051,0.102
1579076699555.838135,47.253,10.690,-13.744,9.741,-43.634,0.082,0.082,0.068
1579076700167.361084,47.852,10.690,-18.225,1.092,-44.380,0.071,0.070,0.027
1579076700778.884277,48.450,10.690,-19.800,-6.878,-41.887,0.170,0.174,0.118
1579076701390.407471,49.049,10.690,-18.749,-12.377,-38.253,0.123,0.121,-0.039
1579076702001.930420,49.648,10.690,-24.542,-10.516,-33.511,0.104,0.104,0.078
1579076702613.453613,50.247,10.690,-23.505,-11.230,-32.587,0.101,0.100,-0.024
1579076703224.976807,50.846,10.690,-28.818,-5.197,-30.670,0.055,0.055,0.015
1579076703836.499756,51.444,10.690,-27.023,-2.422,-32.764,0.053,0.052,0.064
1579076704448.022949,52.043,10.690,-27.044,-4.904,-35.436,0.126,0.125,0.006
1579076705059.546143,52.642,10.690,-26.582,-3.358,-38.667,0.162,0.163,0.105
1579076705671.069092,53.241,10.690,-22.105,-6.761,-44.022,0.104,0.102,-0.042
1579076706282.592285,53.839,10.690,-22.489,-10.033,-44.533,0.137,0.139,0.047
1579076706894.115479,54.438,10.690,-19.358,-14.231,-41.831,0.162,0.162,0.012
1579076707505.638428,55.037,10.690,-23.090,-11.645,-38.333,0.088,0.088,0.043
1579076708117.161621,55.636,10.690,-21.180,-13.260,-37.500,0.085,0.085,-0.051
1579076756082.735107,28.577,13.050,-16.620,7.860,-29.640,0.003,0.003,-0.003
1579076756651.059082,29.226,13.050,-17.465,5.475,-30.505,0.119,0.116,-0.043
1579076757219.383057,29.876,13.050,-25.099,3.463,-31.046,0.176,0.181,0.061
1579076757787.707031,30.525,13.050,-31.437,-5.084,-27.539,0.216,0.211,-0.052
1579076758356.031006,31.175,13.050,-37.334,-0.536,-30.539,0.179,0.182,0.112
1579076758924.354980,31.825,13.050,-40.640,-6.157,-32.677,0.194,0.191,-0.017
1579076759492.678955,32.474,13.050,-40.219,-1.204,-33.776,0.178,0.178,0.097
1579076760061.002930,33.124,13.050,-29.967,-5.533,-37.635,0.171,0.167,-0.065
1579076760629.326904,33.773,13.050,-24.501,1.528,-37.544,0.142,0.143,0.060
1579076761197.650879,34.423,13.050,-25.911,0.500,-38.069,0.137,0.136,-0.023
1579076761765.974854,35.072,13.050,-32.730,2.630,-32.290,0.048,0.047,0.048
1579076762334.298828,35.722,13.050,-31.506,1.556,-30.879,0.163,0.162,0.003
1579076762902.622803,36.372,13.050,-32.872,3.526,-33.120,0.130,0.129,-0.015
1579076763470.946777,37.021,13.050,-33.621,3.612,-35.764,0.130,0.131,0.078
1579076764039.270752,37.671,13.050,-27.771,-10.907,-36.818,0.177,0.172,-0.079
1579076764607.594482,38.320,13.050,-22.614,-9.879,-38.285,0.123,0.122,-0.046
1579076765175.918457,38.970,13.050,-14.706,-14.608,-37.958,0.137,0.130,-0.192
1579076765744.242432,39.619,13.050,-13.932,-10.082,-35.628,0.087,0.086,-0.022
1579076766312.566406,40.269,13.050,-11.748,-8.875,-32.138,0.096,0.095,-0.039
1579076766880.890381,40.919,13.050,-12.840,-12.470,-25.517,0.128,0.129,-0.249
1579076767449.214355,41.568,13.050,-13.533,-10.588,-20.407,0.196,0.185,-0.215
1579076768017.538330,42.218,13.050,-17.783,-3.982,-17.175,0.187,0.184,-0.124
1579076768585.862305,42.867,13.050,-17.577,-0.590,-19.739,0.201,0.194,-0.168
1579076769154.186279,43.517,13.050,-18.041,6.710,-26.049,0.124,0.122,-0.077
1579076769722.510254,44.167,13.050,-17.291,8.582,-30.311,0.098,0.097,-0.040
1579076770290.834229,44.816,13.050,-20.156,10.624,-30.409,0.047,0.051,-0.092
1579076770859.158203,45.466,13.050,-21.574,11.963,-33.417,0.136,0.135,-0.008
1579076771427.482178,46.115,13.050,-27.504,7.239,-35.995,0.174,0.170,-0.069
1579076771995.806152,46.765,13.050,-34.057,4.851,-38.257,0.176,0.177,0.073
1579076772564.130127,47.414,13.050,-36.198,-6.442,-40.000,0.158,0.156,-0.033
1579076773132.454102,48.064,13.050,-39.139,-3.007,-39.018,0.117,0.112,0.107
1579076773700.778076,48.714,13.050,-34.406,-11.292,-41.057,0.126,0.124,-0.072
1579076774269.102051,49.363,13.050,-36.297,-10.622,-39.351,0.158,0.155,-0.004
1579076774837.426025,50.013,13.050,-32.034,-10.282,-39.935,0.097,0.097,-0.034
1579076775405.750000,50.662,13.050,-31.980,-7.975,-38.709,0.088,0.087,-0.015
1579076775974.073975,51.312,13.050,-28.827,-9.896,-37.801,0.120,0.119,0.024
1579076776542.397949,51.962,13.050,-23.634,-15.343,-32.655,0.194,0.190,-0.056
1579076777110.721924,52.611,13.050,-23.622,-9.608,-27.212,0.168,0.166,0.086
1579076777679.045898,53.261,13.050,-21.577,-9.111,-23.227,0.142,0.140,-0.043
1579076778247.369873,53.910,13.050,-25.297,-0.420,-20.786,0.144,0.142,0.088
1579076778815.693848,54.560,13.050,-24.732,-0.647,-24.881,0.161,0.160,-0.012
1579076779384.017822,55.209,13.050,-25.598,2.414,-27.240,0.161,0.161,0.099
1579076779952.341797,55.859,13.050,-27.468,-1.535,-28.491,0.190,0.189,0.035
1579076780520.665527,56.509,13.050,-31.687,-0.299,-29.401,0.154,0.152,0.053
1579076781088.989502,57.158,13.050,-31.549,2.751,-35.477,0.127,0.125,0.108
1579076781657.313477,57.808,13.050,-32.030,-2.741,-39.263,0.157,0.155,0.016
1579076782225.637451,58.457,13.050,-29.487,-3.397,-39.351,0.209,0.212,0.144
1579076782793.961426,59.107,13.050,-28.583,-7.764,-40.557,0.134,0.133,-0.032
1579076783362.285400,59.757,13.050,-30.806,-6.671,-39.319,0.205,0.204,0.125
1579076783930.609375,60.406,13.050,-30.468,-11.908,-40.696,0.139,0.138,-0.006
1579076784498.933350,61.056,13.050,-33.314,-8.613,-38.381,0.096,0.094,0.089
1579076785067.257324,61.705,13.050,-29.781,-12.991,-40.206,0.118,0.118,0.004
1579076785635.581299,62.355,13.050,-32.714,-13.092,-32.433,0.146,0.144,0.048
1579076786203.905273,63.004,13.050,-26.833,-5.467,-30.623,0.095,0.094,0.026
1579076786772.229248,63.654,13.050,-24.464,5.095,-31.283,0.135,0.135,0.041
1579076787340.553223,64.304,13.050,-30.176,14.944,-32.608,0.101,0.099,0.103
1579076787908.877197,64.953,13.050,-41.892,10.773,-33.081,0.129,0.129,0.052
1579076788477.201172,65.603,13.050,-43.540,7.020,-35.591,0.147,0.149,0.172
1579076789045.525146,66.252,13.050,-40.214,-1.468,-41.527,0.111,0.112,0.013
1579076789613.849121,66.902,13.050,-41.928,-1.687,-41.355,0.150,0.153,0.111
1579076790182.173096,67.551,13.050,-35.366,-9.678,-45.678,0.077,0.077,0.002
1579076790750.497070,68.201,13.050,-30.223,-11.134,-46.590,0.035,0.033,0.063
1579076791318.821045,68.851,13.050,-25.178,-14.623,-44.825,0.066,0.066,0.020
1579076791887.145020,69.500,13.050,-25.461,-15.614,-41.484,0.077,0.075,0.054
1579076792455.468994,70.150,13.050,-17.771,-15.747,-39.323,0.093,0.093,0.134
1579076793023.792969,70.799,13.050,-8.739,-13.208,-37.123,0.156,0.157,0.069
1579076793592.116943,71.449,13.050,-7.675,-3.267,-39.166,0.163,0.166,0.168
1579076794160.440918,72.099,13.050,-8.921,-2.733,-45.007,0.135,0.136,0.034
1579076794728.764893,72.748,13.050,-7.534,-3.445,-48.778,0.097,0.095,0.148
1579076795297.088867,73.398,13.050,1.806,1.872,-54.848,0.083,0.083,0.027
1579076795865.412842,74.047,13.050,-5.632,11.643,-58.153,0.076,0.074,0.085
1579076796433.736572,74.697,13.050,-11.131,13.355,-59.002,0.116,0.117,0.025
1579076797002.060547,75.346,13.050,-23.151,11.598,-61.640,0.037,0.035,0.062
1579076797570.384521,75.996,13.050,-24.323,-0.403,-59.839,0.050,0.048,0.070
1579076798138.708496,76.646,13.050,-24.855,-9.941,-52.131,0.113,0.112,0.010
1579076798707.032471,77.295,13.050,-24.820,-10.196,-43.947,0.151,0.157,0.123
1579076799275.356445,77.945,13.050,-28.058,-9.731,-39.907,0.142,0.141,-0.012
1579076799843.680420,78.594,13.050,-33.271,-6.100,-40.585,0.183,0.188,0.114
1579076800412.004395,79.244,13.050,-38.393,-11.551,-42.980,0.114,0.113,-0.030
1579076800980.328369,79.894,13.050,-48.064,-7.081,-37.275,0.105,0.102,0.092
1579076801548.652344,80.543,13.050,-45.519,-10.738,-43.137,0.090,0.090,0.003
1579076802116.976318,81.193,13.050,-46.218,-10.494,-43.064,0.110,0.111,0.050
1579076802685.300293,81.842,13.050,-43.406,-15.424,-48.138,0.139,0.139,0.014
1579076803253.624268,82.492,13.050,-49.686,-20.612,-43.934,0.199,0.202,0.070
1579076803821.948242,83.141,13.050,-49.756,-25.645,-43.045,0.094,0.093,0.012
1579076804390.272217,83.791,13.050,-51.300,-28.320,-40.800,0.122,0.121,-0.040
1579076847259.717041,45.520,13.893,-18.600,11.220,-30.900,0.000,0.000,0.005
1579076847939.856934,45.520,14.500,-16.829,16.376,-30.282,0.024,0.035,0.156
1579076848619.996826,45.520,15.106,-20.384,15.084,-33.232,0.007,0.016,0.109
1579076849300.136719,45.520,15.713,-18.217,13.806,-38.007,0.039,0.062,0.160
1579076849980.276611,45.520,16.319,-12.801,7.237,-39.257,0.014,0.029,0.178
1579076850660.416504,45.520,16.925,-7.673,2.453,-33.530,0.018,0.050,0.299
1579076851340.556396,45.520,17.532,-5.628,-0.840,-26.874,-0.006,0.017,0.227
1579076852020.696289,45.520,18.138,-8.493,-2.733,-19.260,-0.014,0.004,0.263
1579076852700.836182,45.520,18.745,-14.144,-2.425,-16.977,0.023,0.057,0.340
1579076853380.976074,45.520,19.351,-15.325,1.163,-20.049,-0.029,-0.005,0.243
1579076854061.116211,45.520,19.958,-18.977,5.175,-26.734,-0.010,0.005,0.200
1579076854741.256104,45.520,20.564,-22.603,5.551,-34.857,0.049,0.067,0.147
1579076855421.395996,45.520,21.171,-24.831,3.617,-44.562,0.054,0.058,0.039
1579076856101.535889,45.520,21.777,-21.041,8.724,-58.494,0.070,0.081,0.100
1579076856781.675781,45.520,22.384,-12.318,15.585,-63.996,0.030,0.032,0.022
1579076857461.815674,45.520,22.990,-7.897,13.515,-59.387,0.050,0.058,0.082
1579076858141.955566,45.520,23.597,-3.591,9.375,-53.606,0.067,0.093,0.174
1579076858822.095459,45.520,24.203,-7.946,10.032,-47.291,0.056,0.066,0.095
1579076859502.235352,45.520,24.810,-11.040,14.340,-42.840,-0.073,-0.074,0.156
1579076876998.646484,48.133,13.935,-15.360,-31.800,-52.140,-0.001,-0.001,0.002
1579076877619.812744,48.133,14.508,-11.805,-29.100,-51.492,0.012,0.018,0.090
1579076878240.979004,48.133,15.080,7.689,-21.497,-49.367,0.012,0.014,0.023
1579076878862.145264,48.133,15.652,8.142,-8.014,-43.754,0.044,0.060,0.146
1579076879483.311768,48.133,16.225,7.136,0.387,-36.635,-0.009,-0.001,0.118
1579076880104.478027,48.133,16.797,1.200,3.168,-27.743,0.034,0.047,0.169
1579076880725.644287,48.133,17.369,-1.041,9.130,-18.980,0.000,0.013,0.187
1579076881346.810547,48.133,17.942,-8.100,14.130,-13.481,0.034,0.046,0.184
1579076881967.976807,48.133,18.514,-15.990,20.852,-13.816,-0.001,0.016,0.272
1579076882589.143066,48.133,19.086,-21.113,20.969,-16.151,-0.021,-0.014,0.197
1579076883210.309570,48.133,19.659,-25.529,21.298,-25.522,0.010,0.034,0.279
1579076883831.475830,48.133,20.231,-30.167,16.101,-32.241,0.006,0.013,0.133
1579076884452.642090,48.133,20.803,-35.875,6.236,-42.845,0.047,0.050,0.039
1579076885073.808350,48.133,21.376,-34.996,-5.827,-53.228,0.088,0.082,-0.065
1579076885694.974609,48.133,21.948,-35.111,-22.996,-53.640,0.087,0.079,-0.097
1579076886316.140869,48.133,22.520,-27.642,-22.853,-57.420,0.003,0.013,0.148
1579076886937.307373,48.133,23.093,-6.155,-23.016,-56.669,-0.014,-0.011,0.056
1579076887558.473633,48.133,23.665,-0.940,-10.041,-53.861,0.020,0.039,0.178
1579076888179.639893,48.133,24.237,-4.109,-0.627,-54.184,-0.005,0.005,0.194
1579076888800.806152,48.133,24.810,-6.720,4.320,-54.300,-0.009,-0.004,0.135
1579076910188.015869,58.923,13.767,-20.280,1.800,-42.120,0.002,0.002,-0.001
1579076910830.150146,58.923,14.346,-19.833,0.685,-43.454,0.095,0.092,-0.032
1579076911472.284668,58.923,14.925,-23.507,1.025,-43.024,0.068,0.064,-0.041
1579076912114.418945,58.923,15.504,-20.306,-2.670,-40.858,0.081,0.071,-0.120
1579076912756.553223,58.923,16.083,-15.096,-2.074,-34.869,0.132,0.121,-0.087
1579076913398.687500,58.923,16.662,-12.003,-1.062,-27.339,0.114,0.106,-0.064
1579076914040.822021,58.923,17.241,-10.927,-1.767,-22.005,0.102,0.094,-0.079
1579076914682.956299,58.923,17.820,-9.822,-0.432,-20.128,0.122,0.124,0.010
1579076915325.090576,58.923,18.399,-7.982,-1.616,-17.376,0.086,0.076,-0.091
1579076915967.224854,58.923,18.978,-12.905,-2.153,-15.436,0.104,0.095,-0.079
1579076916609.359375,58.923,19.557,-16.230,-1.619,-19.591,0.083,0.081,-0.020
1579076917251.493652,58.923,20.135,-15.675,-1.901,-21.369,0.031,0.030,-0.012
1579076917893.627930,58.923,20.714,-15.911,-0.790,-25.093,0.100,0.105,0.037
1579076918535.762207,58.923,21.293,-19.178,-3.616,-26.787,0.083,0.078,-0.045
1579076919177.896729,58.923,21.872,-22.017,-9.693,-34.103,0.087,0.084,-0.022
1579076919820.031006,58.923,22.451,-22.867,-17.555,-38.648,0.092,0.094,0.019
1579076920462.165283,58.923,23.030,-13.381,-23.578,-40.810,0.096,0.083,-0.111
1579076921104.299561,58.923,23.609,-12.604,-22.514,-37.883,0.122,0.108,-0.088
1579076921746.434082,58.923,24.188,-15.074,-20.478,-37.461,0.112,0.099,-0.084
1579076922388.568359,58.923,24.767,-20.220,-17.460,-36.540,0.039,0.032,-0.104
1579076958885.687256,28.661,26.116,-34.740,-17.100,-45.120,0.004,0.004,0.003
1579076959442.750244,29.334,26.115,-35.100,-15.258,-42.909,0.080,0.081,0.031
1579076959999.813477,30.007,26.114,-35.498,-17.471,-42.334,0.170,0.169,-0.011
1579076960556.876465,30.680,26.113,-26.740,-17.500,-41.666,0.199,0.200,0.027
1579076961113.939697,31.354,26.111,-29.783,-13.120,-40.580,0.198,0.206,0.106
1579076961671.002686,32.027,26.110,-29.653,-14.726,-41.131,0.181,0.185,0.067
1579076962228.065918,32.700,26.109,-36.725,-7.665,-36.422,0.138,0.141,0.100
1579076962785.128906,33.373,26.108,-36.534,-7.904,-34.264,0.171,0.177,0.093
1579076963342.192139,34.046,26.107,-40.122,-7.063,-38.483,0.171,0.177,0.074
1579076963899.255127,34.719,26.105,-42.271,-6.033,-38.895,0.200,0.213,0.154
1579076964456.318359,35.393,26.104,-40.894,-9.044,-33.121,0.201,0.204,0.036
1579076965013.381348,36.066,26.103,-35.301,-1.465,-29.677,0.207,0.220,0.155
1579076965570.444336,36.739,26.102,-26.398,-7.408,-29.980,0.161,0.161,0.001
1579076966127.507568,37.412,26.100,-16.887,-9.568,-27.788,0.166,0.174,0.144
1579076966684.570557,38.085,26.099,-6.539,-15.867,-23.782,0.057,0.058,0.022
1579076967241.633789,38.758,26.098,-13.729,-18.354,-19.411,0.044,0.043,0.107
1579076967798.696777,39.432,26.097,-19.336,-16.075,-20.726,0.051,0.052,0.038
1579076968355.760010,40.105,26.096,-27.866,-8.622,-17.568,0.008,0.005,0.096
1579076968912.822998,40.778,26.094,-28.843,-6.357,-15.904,0.060,0.059,0.048
1579076969469.886230,41.451,26.093,-30.492,-6.165,-19.844,0.055,0.055,-0.012
1579076970026.949219,42.124,26.092,-35.043,-10.804,-24.787,0.109,0.109,0.082
1579076970584.012451,42.797,26.091,-38.015,-12.698,-26.268,0.097,0.096,0.002
1579076971141.075439,43.471,26.090,-35.628,2.663,-26.495,0.118,0.118,0.147
1579076971698.138672,44.144,26.088,-31.101,3.484,-37.880,0.024,0.024,-0.002
1579076972255.201660,44.817,26.087,-26.836,6.126,-42.863,0.055,0.054,0.114
1579076972812.264648,45.490,26.086,-19.165,5.242,-45.503,0.049,0.049,0.019
1579076973369.327881,46.163,26.085,-17.786,10.087,-48.088,0.061,0.058,0.108
1579076973926.390869,46.837,26.084,-9.605,11.489,-50.275,0.067,0.066,0.051
1579076974483.454102,47.510,26.082,-8.311,12.492,-50.024,0.085,0.083,0.051
1579076975040.517090,48.183,26.081,-4.976,4.613,-50.735,0.136,0.135,0.129
1579076975597.580322,48.856,26.080,-13.624,-8.100,-50.139,0.117,0.116,-0.002
1579076976154.643311,49.529,26.079,-18.824,-10.590,-47.765,0.141,0.142,0.183
1579076976711.706543,50.202,26.078,-13.274,-16.564,-41.584,0.095,0.095,0.050
1579076977268.769531,50.876,26.076,-16.594,-16.367,-31.997,0.110,0.109,0.189
1579076977825.832764,51.549,26.075,-10.207,-18.576,-23.314,0.058,0.058,0.027
1579076978382.895752,52.222,26.074,-15.553,-10.862,-14.638,0.060,0.059,0.159
1579076978939.958740,52.895,26.073,-16.120,-4.190,-14.988,0.149,0.152,0.064
1579076979497.021973,53.568,26.072,-22.887,7.006,-17.860,0.119,0.119,0.168
1579076980054.084961,54.241,26.070,-25.102,10.420,-26.315,0.106,0.105,0.138
1579076980611.148193,54.915,26.069,-28.513,9.255,-32.784,0.141,0.145,0.117
1579076981168.211182,55.588,26.068,-28.546,11.565,-40.303,0.118,0.121,0.178
1579076981725.274414,56.261,26.067,-28.798,2.597,-48.179,0.143,0.147,0.088
1579076982282.337402,56.934,26.066,-30.862,-3.875,-47.576,0.192,0.200,0.244
1579076982839.400635,57.607,26.064,-23.914,-15.941,-44.295,0.123,0.125,0.045
1579076983396.463623,58.280,26.063,-27.577,-17.713,-34.085,0.151,0.157,0.184
1579076983953.526855,58.954,26.062,-24.209,-20.531,-31.358,0.083,0.084,0.074
1579076984510.589844,59.627,26.061,-30.109,-15.445,-25.914,0.070,0.066,0.158
1579076985067.652832,60.300,26.060,-35.825,-10.650,-25.933,0.165,0.170,0.147
1579076985624.716064,60.973,26.058,-42.919,0.215,-26.331,0.130,0.133,0.170
1579076986181.779053,61.646,26.057,-45.809,4.482,-30.866,0.127,0.131,0.188
1579076986738.842285,62.319,26.056,-45.462,6.035,-33.467,0.138,0.143,0.159
1579076987295.905273,62.993,26.055,-41.534,6.037,-31.879,0.142,0.140,0.195
1579076987852.968506,63.666,26.054,-35.554,-3.192,-31.039,0.184,0.185,0.090
1579076988410.031494,64.339,26.052,-32.942,0.803,-30.915,0.201,0.207,0.212
1579076988967.094727,65.012,26.051,-33.984,2.407,-35.127,0.135,0.134,0.024
1579076989524.157715,65.685,26.050,-35.223,15.434,-42.906,0.159,0.159,0.187
1579076990081.220947,66.358,26.049,-35.746,11.970,-50.952,0.089,0.088,0.092
1579076990638.283936,67.032,26.047,-38.055,7.024,-56.246,0.134,0.138,0.200
1579076991195.347168,67.705,26.046,-37.641,-4.474,-60.654,0.167,0.167,0.121
1579076991752.410156,68.378,26.045,-33.100,-5.370,-55.048,0.151,0.150,0.164
1579076992309.473145,69.051,26.044,-24.156,-6.310,-48.545,0.170,0.173,0.156
1579076992866.536377,69.724,26.043,-21.596,-3.686,-43.827,0.160,0.162,0.181
1579076993423.599365,70.397,26.041,-18.135,-5.065,-40.458,0.136,0.139,0.220
1579076993980.662598,71.071,26.040,-16.959,-10.864,-31.869,0.189,0.193,0.119
1579076994537.725586,71.744,26.039,-22.393,-8.967,-21.923,0.193,0.200,0.228
1579076995094.788818,72.417,26.038,-26.152,-7.451,-17.394,0.135,0.137,0.111
1579076995651.851807,73.090,26.037,-31.329,2.055,-16.875,0.190,0.194,0.238
1579076996208.915039,73.763,26.035,-33.550,3.716,-18.844,0.144,0.145,0.090
1579076996765.978027,74.436,26.034,-31.393,12.032,-21.167,0.219,0.222,0.135
1579076997323.041260,75.110,26.033,-32.383,10.744,-24.636,0.182,0.182,0.053
1579076997880.104248,75.783,26.032,-28.560,16.740,-29.880,0.211,0.221,0.200
